,teamId,year,runsScored,runsPitching,teamName,season,homeName,wins,losses,winLossRatio,awayName,winProb,lossProb,pythag_expect
0,108,2021,113,118,Los Angeles Angels,2021,Los Angeles Angels,169.0,119.0,0.6175367251987928,,0.5868055555555556,0.4131944444444444,0.47836511444948115
1,109,2021,136,126,Arizona Diamondbacks,2021,Arizona Diamondbacks,146.0,194.0,0.4005097798557477,,0.4294117647058823,0.5705882352941176,0.5381124170836727
2,110,2021,94,107,Baltimore Orioles,2021,Baltimore Orioles,167.0,252.0,0.3895093588675671,,0.3985680190930787,0.6014319809069213,0.43559280256347055
3,111,2021,129,105,Boston Red Sox,2021,Boston Red Sox,240.0,170.0,0.5045184573764014,,0.5853658536585366,0.4146341463414634,0.6014964216005205
4,112,2021,114,128,Chicago Cubs,2021,Chicago Cubs,199.0,151.0,0.5910864890420778,,0.5685714285714286,0.4314285714285714,0.4423417290673928
5,113,2021,136,128,Cincinnati Reds,2021,Cincinnati Reds,130.0,193.0,0.4139939605935478,,0.4024767801857585,0.5975232198142415,0.5302752293577981
6,114,2021,95,96,Cleveland Indians,2021,Cleveland Indians,168.0,211.0,0.4580795869062661,,0.4432717678100263,0.5567282321899736,0.49476454141768544
7,115,2021,115,130,Colorado Rockies,2021,Colorado Rockies,165.0,217.0,0.4511654994807226,,0.4319371727748691,0.5680628272251309,0.43900414937759336
8,116,2021,75,133,Detroit Tigers,2021,Detroit Tigers,163.0,198.0,0.5250493866157706,,0.4515235457063712,0.5484764542936288,0.2412713391095479
9,117,2021,115,98,Houston Astros,2021,Houston Astros,158.0,195.0,0.4487462370835368,,0.4475920679886686,0.5524079320113314,0.579307021770555
10,118,2021,105,107,Kansas City Royals,2021,Kansas City Royals,217.0,111.0,0.6844857259316058,,0.6615853658536586,0.3384146341463415,0.4905668772804129
11,119,2021,127,93,Los Angeles Dodgers,2021,Los Angeles Dodgers,260.0,135.0,0.6825046481708064,,0.6582278481012658,0.3417721518987341,0.6509403503107596
12,120,2021,77,98,Washington Nationals,2021,Washington Nationals,110.0,130.0,0.4548094349828799,,0.4583333333333333,0.5416666666666666,0.38170347003154576
13,121,2021,58,72,New York Mets,2021,New York Mets,135.0,122.0,0.5248162062134333,,0.5252918287937743,0.4747081712062256,0.39354234908750585
14,133,2021,111,115,Oakland Athletics,2021,Oakland Athletics,183.0,172.0,0.4042319393182253,,0.5154929577464789,0.4845070422535211,0.48230642762076253
15,134,2021,97,113,Pittsburgh Pirates,2021,Pittsburgh Pirates,174.0,192.0,0.4601628766989381,,0.4754098360655737,0.5245901639344263,0.42424925601947877
16,135,2021,109,94,San Diego Padres,2021,San Diego Padres,180.0,183.0,0.5471440125466389,,0.4958677685950413,0.5041322314049587,0.5734903702273495
17,136,2021,112,111,Seattle Mariners,2021,Seattle Mariners,135.0,119.0,0.5252701852670892,,0.531496062992126,0.468503937007874,0.5044842147597024
18,137,2021,106,83,San Francisco Giants,2021,San Francisco Giants,199.0,155.0,0.5190042949334888,,0.5621468926553672,0.4378531073446328,0.6199172413793104
19,138,2021,117,108,St. Louis Cardinals,2021,St. Louis Cardinals,166.0,158.0,0.5352143379328229,,0.5123456790123457,0.4876543209876543,0.5399361022364217
20,139,2021,113,124,Tampa Bay Rays,2021,Tampa Bay Rays,195.0,242.0,0.4462018602950038,,0.4462242562929062,0.5537757437070938,0.4536862675430805
21,140,2021,104,125,Texas Rangers,2021,Texas Rangers,199.0,213.0,0.4686633150381515,,0.4830097087378641,0.5169902912621359,0.4090616845051246
22,141,2021,107,90,Toronto Blue Jays,2021,Toronto Blue Jays,169.0,137.0,0.5613303933371023,,0.5522875816993464,0.4477124183006536,0.5856565553225229
23,142,2021,111,109,Minnesota Twins,2021,Minnesota Twins,151.0,188.0,0.4673030128663458,,0.4454277286135693,0.5545722713864307,0.5090901578381952
24,143,2021,97,112,Philadelphia Phillies,2021,Philadelphia Phillies,176.0,169.0,0.5931133082230134,,0.5101449275362319,0.4898550724637681,0.42859745820616774
25,144,2021,122,132,Atlanta Braves,2021,Atlanta Braves,205.0,215.0,0.4884529556721065,,0.4880952380952381,0.5119047619047619,0.460690850563328
26,145,2021,127,98,Chicago White Sox,2021,Chicago White Sox,174.0,202.0,0.4008559246091733,,0.4627659574468085,0.5372340425531915,0.626782730346248
27,146,2021,104,93,Miami Marlins,2021,Miami Marlins,114.0,82.0,0.5468870268018875,,0.5816326530612245,0.4183673469387755,0.5556640123298228
28,147,2021,102,92,New York Yankees,2021,New York Yankees,161.0,143.0,0.5090743037274367,,0.5296052631578947,0.4703947368421052,0.5514097943608226
29,158,2021,103,93,Milwaukee Brewers,2021,Milwaukee Brewers,225.0,171.0,0.5785083428164116,,0.5681818181818182,0.4318181818181818,0.5508879426731748
