teamId,home,gamePk,flyOuts,groundOuts,runsScored,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,catchersInterference,pickoffs,airOutsPitching,groundOutsPitching,runsPitching,doublesPitching,triplesPitching,homeRunsPitching,strikeOutsPitching,baseOnBallsPitching,intentionalWalksPitching,hitsPitching,hitByPitchPitching,atBatsPitching,caughtStealingPitching,stolenBasesPitching,inningsPitched,earnedRuns,battersFaced,outsPitching,hitBatsmen,balks,wildPitches,pickoffsPitching,rbiPitching,inheritedRunners,inheritedRunnersScored,catchersInterferencePitching,sacBuntsPitching,sacFliesPitching,year
108,10,14586380,108,191,113,34,2,31,192,58,5,213,10,806,1,6,4,0,881,344,102,349,2,5,0,1,0,0,118,0,0,25,241,85,0,188,11,782,4,16,203.2,107,887,611,11,0,0,2,106,0,0,1,1,7,46483
109,9,16489698,131,227,136,38,8,36,230,106,5,214,12,900,3,8,9,0,1024,376,126,442,1,5,0,1,0,0,126,0,0,35,212,83,9,218,10,871,6,14,229.1,115,982,688,10,0,0,1,123,0,0,1,7,10,52546
110,14,16489768,122,207,94,43,2,25,247,66,1,193,5,860,3,7,5,0,940,315,89,337,4,5,0,2,0,0,107,0,0,34,220,84,1,208,10,865,4,7,228.2,102,968,686,10,0,0,2,103,0,0,0,3,6,52546
111,16,17124224,102,242,129,61,3,31,224,75,3,232,13,895,2,9,11,0,992,392,116,387,1,7,1,3,0,0,105,0,0,17,257,93,0,202,14,886,3,15,238.1,94,1005,715,14,0,0,0,100,0,0,0,5,7,54567
112,15,16487367,108,225,114,33,7,32,260,99,3,180,18,833,5,17,5,0,967,323,110,369,6,10,1,1,0,0,128,0,0,35,243,116,3,216,22,876,3,11,228.0,124,1023,684,22,0,0,3,126,0,0,0,3,6,52546
113,13,15859917,134,200,136,43,5,38,240,79,2,211,17,852,5,5,5,0,962,378,132,332,7,7,0,2,0,0,128,0,0,35,241,113,8,192,13,833,2,10,222.0,118,968,666,13,0,0,1,121,0,0,0,2,7,50525
114,13,15218366,104,203,95,35,4,31,201,79,3,161,5,777,1,14,3,0,869,297,92,305,2,4,2,0,0,0,96,0,0,36,234,77,1,170,9,796,2,6,213.2,89,887,641,9,0,0,1,93,0,0,1,1,3,48504
115,15,16489708,111,223,115,38,9,30,230,69,6,201,3,856,5,11,9,0,941,347,109,319,6,7,0,1,0,0,130,0,0,28,201,108,3,228,7,868,3,8,225.0,118,1001,675,7,0,0,0,124,0,0,1,10,7,52546
116,13,17121992,124,182,75,27,6,28,280,63,1,167,4,843,1,7,4,0,916,290,75,291,0,4,2,1,0,0,133,0,0,38,199,103,0,217,7,874,3,16,226.2,128,992,680,7,0,0,1,125,0,0,0,3,5,54567
117,13,15855177,120,235,115,44,3,23,181,70,1,211,14,847,2,9,9,0,944,330,109,374,0,12,1,0,0,0,98,0,0,28,226,77,3,185,15,821,4,5,221.0,94,921,663,15,0,0,2,98,0,0,0,2,6,50525
118,13,15220555,121,209,105,35,7,22,190,74,2,182,6,777,6,22,5,0,873,297,99,297,6,8,2,2,0,0,107,0,0,23,212,92,1,192,7,791,3,10,209.0,98,900,627,7,0,0,1,98,0,0,0,1,9,48504
119,13,17124120,128,218,127,42,7,31,259,126,9,212,23,907,2,10,9,0,1069,361,119,460,6,7,0,1,0,0,93,0,0,27,270,70,4,190,9,901,6,28,244.1,81,989,733,9,0,0,2,85,0,0,1,5,3,54567
120,11,13951425,98,189,77,28,1,21,181,57,4,177,14,714,6,8,8,0,793,270,75,301,2,6,0,1,0,0,98,0,0,34,183,80,12,161,12,699,5,6,188.0,89,801,564,12,0,0,1,93,0,0,0,5,5,44462
121,10,12682637,91,165,58,25,2,15,172,66,2,145,15,627,4,3,6,0,715,219,55,299,4,3,0,1,0,0,72,0,0,10,207,54,2,122,9,601,4,9,167.1,54,672,502,9,0,0,2,65,0,0,1,2,5,40420
133,15,17124460,126,218,111,33,5,33,244,92,1,184,19,865,5,19,6,0,985,326,103,355,2,7,0,2,0,0,115,0,0,31,233,79,3,236,13,925,4,10,237.0,108,1027,711,13,0,0,2,108,0,0,0,1,9,54567
134,10,15855337,108,212,97,41,3,20,218,90,0,186,11,819,3,8,6,0,926,293,93,379,2,4,0,2,0,0,113,0,0,29,223,84,0,186,13,796,3,17,214.0,106,907,642,13,0,0,1,110,0,0,0,3,11,50525
135,14,17124084,111,248,109,33,3,26,231,110,4,212,10,904,7,31,7,0,1037,329,102,438,3,8,2,3,0,0,94,0,0,30,304,79,6,185,19,906,2,14,245.0,76,1011,735,19,0,0,2,86,0,0,0,3,4,54567
136,12,17121721,122,199,112,46,2,30,255,86,0,180,12,855,4,13,5,0,962,320,106,318,3,5,1,4,0,0,111,0,0,23,200,91,2,191,16,859,2,17,232.2,97,977,698,16,0,0,0,103,0,0,1,0,10,54567
137,13,16491820,116,206,106,41,3,32,243,92,8,190,7,841,2,13,10,0,951,333,104,338,5,5,1,0,0,0,83,0,0,24,232,79,0,173,10,847,4,11,231.3,76,941,696,10,0,0,1,80,0,0,0,1,4,52546
138,13,16489520,121,216,117,32,3,33,235,78,9,190,13,849,4,7,9,0,951,327,106,305,6,5,0,0,0,0,108,0,0,21,222,104,5,186,19,844,3,9,229.0,101,980,687,19,0,0,2,98,0,0,0,4,9,52546
139,15,17123749,136,206,113,50,3,27,273,93,1,205,15,909,6,9,3,0,1026,342,105,397,3,6,0,1,0,0,124,0,0,27,244,73,3,219,10,915,3,15,243.4,115,1009,733,10,0,0,0,116,0,0,0,4,7,54567
140,14,17124077,90,235,104,23,3,31,285,80,1,204,18,891,7,19,8,0,998,326,100,352,4,5,0,2,0,0,125,0,0,39,218,71,1,240,11,926,4,6,238.2,121,1019,716,11,0,0,1,115,0,0,2,2,7,54567
141,9,15223184,130,182,107,24,1,35,208,76,1,185,11,793,2,13,7,0,890,316,99,334,1,7,2,1,0,0,90,0,0,29,201,66,0,182,11,786,2,13,207.2,79,864,623,11,0,0,0,85,0,0,0,1,0,48504
142,11,15218777,101,209,111,40,2,31,208,74,1,193,11,800,1,9,4,0,897,330,105,337,2,10,0,0,0,0,109,0,0,32,203,64,3,182,13,779,3,11,205.4,94,864,619,13,0,0,5,103,0,0,1,2,5,48504
143,13,16489505,98,215,97,34,2,26,254,80,6,193,13,835,3,15,6,0,942,309,91,341,3,11,0,2,0,0,112,0,0,35,232,72,7,209,11,861,2,5,224.3,106,954,675,11,0,0,0,107,0,0,0,5,5,52546
144,14,16489855,127,195,122,44,3,38,224,97,6,194,17,835,1,6,7,0,961,358,117,356,4,8,0,2,0,0,132,0,0,39,243,98,7,215,14,855,3,14,222.2,123,982,668,14,0,0,0,127,0,0,1,6,8,52546
145,13,15855370,79,247,127,40,4,23,212,90,1,220,11,833,4,16,6,0,943,337,116,390,4,5,0,2,0,0,98,0,0,25,251,75,3,180,7,800,4,13,213.1,86,895,640,7,0,0,1,91,0,0,3,4,6,50525
146,11,15855302,120,204,104,37,5,21,247,84,4,192,14,838,6,18,8,0,948,302,98,355,3,8,0,4,0,0,93,0,0,26,215,75,5,175,16,805,5,10,222.2,83,909,668,16,0,0,0,88,0,0,1,5,7,50525
147,12,16489739,118,217,102,32,0,37,226,113,2,192,5,859,1,4,8,0,981,335,97,366,2,2,0,0,0,0,92,0,0,26,276,67,1,180,13,855,2,10,232.2,79,947,698,13,0,0,0,86,0,0,1,4,7,52546
158,14,16487092,111,223,103,30,4,31,262,81,3,182,21,853,3,11,6,0,963,313,100,354,4,3,1,1,0,0,93,0,0,27,269,91,2,173,16,850,7,11,234.0,85,965,702,16,0,0,1,87,0,0,0,3,4,52546
