teamId,home,gamePk,flyOuts,groundOuts,runsScored,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,catchersInterference,pickoffs,airOutsPitching,groundOutsPitching,runsPitching,doublesPitching,triplesPitching,homeRunsPitching,strikeOutsPitching,baseOnBallsPitching,intentionalWalksPitching,hitsPitching,hitByPitchPitching,atBatsPitching,caughtStealingPitching,stolenBasesPitching,inningsPitched,earnedRuns,battersFaced,outsPitching,hitBatsmen,balks,wildPitches,pickoffsPitching,rbiPitching,inheritedRunners,inheritedRunnersScored,catchersInterferencePitching,sacBuntsPitching,sacFliesPitching,year
108,30,37876675,265,512,294,97,8,85,490,239,0,500,25,2020,8,21,0,0,2308,868,285,937,6,18,0,1,0,0,321,0,0,82,523,199,0,493,21,2011,0,0,524.4,297,2256,1576,21,0,0,5,304,0,0,1,3,21,121200
109,30,37841480,267,530,269,101,12,58,461,181,0,482,36,1997,7,23,0,0,2238,781,255,852,1,23,0,4,0,0,295,0,0,93,524,235,0,507,23,2003,0,0,518.1,280,2279,1555,23,0,0,4,283,0,0,1,4,13,121200
110,30,37874766,229,480,274,102,7,77,514,164,0,526,27,2026,14,19,0,0,2242,873,266,880,15,10,0,2,0,0,294,0,0,79,487,192,0,490,34,1991,0,0,517.5,261,2246,1556,34,0,0,3,279,0,0,2,4,23,121200
111,30,37883253,243,517,292,118,7,81,545,187,0,553,21,2083,9,31,0,0,2304,928,278,943,4,9,0,2,0,0,351,0,0,98,537,252,0,587,31,2091,0,0,523.3,325,2389,1572,31,0,0,3,337,0,0,0,5,10,121200
112,32,39161019,226,507,266,83,8,75,584,234,0,431,56,1980,10,24,0,0,2285,755,249,889,1,13,1,1,0,0,247,0,0,77,540,190,0,464,20,2003,0,0,535.4,238,2228,1609,20,0,0,6,238,0,0,1,3,11,125240
113,30,39157768,271,466,243,77,3,90,562,244,0,402,34,1919,10,29,0,0,2206,755,237,778,0,7,2,5,0,0,249,0,0,69,650,218,0,418,31,1944,0,0,523.4,223,2209,1573,31,0,0,0,235,0,0,0,2,14,125240
114,32,39159140,241,522,260,105,5,60,542,247,0,463,25,2030,10,25,0,0,2327,758,246,904,7,16,2,8,0,0,231,0,0,75,644,172,0,463,27,2046,0,0,553.3,218,2269,1662,27,0,0,4,225,0,0,4,4,16,125240
115,30,37873833,263,486,275,84,16,63,543,161,0,527,10,2057,9,42,0,0,2257,832,262,861,7,19,3,4,0,0,353,0,0,83,393,205,0,579,40,2067,0,0,526.1,327,2335,1579,40,0,0,1,333,0,0,0,4,19,121200
116,28,36622005,202,438,249,78,12,62,567,147,0,463,19,1893,6,19,0,0,2076,751,242,764,1,14,2,3,0,0,318,0,0,91,444,192,0,510,34,1927,0,0,491.4,308,2174,1477,34,0,0,2,312,0,0,1,5,15,117160
117,35,46142641,349,622,341,112,12,91,535,240,0,597,31,2429,14,23,0,0,2726,1006,329,1082,7,15,4,5,0,0,323,0,0,93,653,262,0,560,37,2384,0,0,635.9,296,2709,1914,37,0,0,3,312,0,0,0,9,17,147460
118,30,37884793,212,522,248,97,7,68,527,172,0,487,18,1988,20,49,0,0,2200,802,238,834,8,10,4,5,0,0,272,0,0,76,517,211,0,499,29,1971,0,0,516.3,247,2233,1551,29,0,0,3,259,0,0,0,4,18,121200
119,41,49315342,407,601,450,130,8,148,638,311,0,677,37,2645,9,39,0,0,3013,1267,424,1101,3,16,1,4,0,0,279,0,0,87,710,202,0,552,24,2582,0,0,698.4,241,2829,2098,24,0,0,5,265,0,0,0,6,15,157560
120,30,37858607,241,522,293,112,12,66,451,192,0,520,32,1968,12,33,0,0,2218,854,279,870,5,21,0,3,0,0,301,0,0,94,508,216,0,550,22,2025,0,0,502.5,286,2273,1511,22,0,0,2,291,0,0,0,3,7,121200
121,30,37868224,209,541,286,106,7,86,498,197,0,551,45,2023,10,20,0,0,2279,929,278,991,1,13,0,5,0,0,308,0,0,81,574,219,0,512,29,2002,0,0,512.4,284,2262,1540,29,0,0,4,294,0,0,0,4,8,121200
133,35,42319253,298,471,308,97,11,86,578,260,0,484,41,2135,3,26,0,0,2456,861,296,975,2,17,1,3,0,0,276,0,0,86,563,182,0,547,21,2219,0,0,577.1,254,2444,1732,21,0,0,5,264,0,0,2,4,16,135340
134,30,37874798,244,522,219,76,6,59,521,167,0,425,11,1932,11,16,0,0,2134,690,209,775,7,15,2,5,0,0,298,0,0,80,536,249,0,450,37,1918,0,0,511.6,266,2227,1539,37,0,0,5,282,0,0,3,2,18,121200
135,34,41681458,249,583,353,111,13,103,536,228,0,555,31,2173,15,59,0,0,2462,1001,339,910,12,17,1,9,0,0,280,0,0,74,614,202,0,512,29,2161,0,0,572.1,257,2413,1717,29,0,0,3,268,0,0,0,3,18,133320
